instant,dteday,season,year,month,holiday,day_of_week,workingday,weather_condition,temp,atemp,humidity,wind_speed,casual,registered,total_count,day_category,humidity_category
1,2011-01-01,Spring,2011,Jan,0,Saturday,0,Misty,0.344167,0.363625,80.58330000000001,0.160446,331,654,985,weekend,Too Humid
2,2011-01-02,Spring,2011,Jan,0,Sunday,0,Misty,0.363478,0.353739,69.6087,0.248539,131,670,801,weekend,Too Humid
3,2011-01-03,Spring,2011,Jan,0,Monday,1,Clear,0.196364,0.189405,43.7273,0.248309,120,1229,1349,weekday,Too Dry
4,2011-01-04,Spring,2011,Jan,0,Tuesday,1,Clear,0.2,0.212122,59.0435,0.160296,108,1454,1562,weekday,Ideal
5,2011-01-05,Spring,2011,Jan,0,Wednesday,1,Clear,0.226957,0.22927,43.695699999999995,0.1869,82,1518,1600,weekday,Too Dry
6,2011-01-06,Spring,2011,Jan,0,Thursday,1,Clear,0.204348,0.233209,51.8261,0.0895652,88,1518,1606,weekday,Ideal
7,2011-01-07,Spring,2011,Jan,0,Friday,1,Misty,0.196522,0.208839,49.8696,0.168726,148,1362,1510,weekday,Ideal
8,2011-01-08,Spring,2011,Jan,0,Saturday,0,Misty,0.165,0.162254,53.5833,0.266804,68,891,959,weekend,Ideal
9,2011-01-09,Spring,2011,Jan,0,Sunday,0,Clear,0.138333,0.116175,43.416700000000006,0.36195,54,768,822,weekend,Too Dry
10,2011-01-10,Spring,2011,Jan,0,Monday,1,Clear,0.150833,0.150888,48.2917,0.223267,41,1280,1321,weekday,Ideal
11,2011-01-11,Spring,2011,Jan,0,Tuesday,1,Misty,0.169091,0.191464,68.6364,0.122132,43,1220,1263,weekday,Too Humid
12,2011-01-12,Spring,2011,Jan,0,Wednesday,1,Clear,0.172727,0.160473,59.954499999999996,0.304627,25,1137,1162,weekday,Ideal
13,2011-01-13,Spring,2011,Jan,0,Thursday,1,Clear,0.165,0.150883,47.0417,0.301,38,1368,1406,weekday,Ideal
14,2011-01-14,Spring,2011,Jan,0,Friday,1,Clear,0.16087,0.188413,53.7826,0.126548,54,1367,1421,weekday,Ideal
15,2011-01-15,Spring,2011,Jan,0,Saturday,0,Misty,0.233333,0.248112,49.875,0.157963,222,1026,1248,weekend,Ideal
16,2011-01-16,Spring,2011,Jan,0,Sunday,0,Clear,0.231667,0.234217,48.375,0.188433,251,953,1204,weekend,Ideal
17,2011-01-17,Spring,2011,Jan,1,Monday,0,Misty,0.175833,0.176771,53.75,0.194017,117,883,1000,weekday,Ideal
18,2011-01-18,Spring,2011,Jan,0,Tuesday,1,Misty,0.216667,0.232333,86.16669999999999,0.146775,9,674,683,weekday,Too Humid
19,2011-01-19,Spring,2011,Jan,0,Wednesday,1,Misty,0.292174,0.298422,74.1739,0.208317,78,1572,1650,weekday,Too Humid
20,2011-01-20,Spring,2011,Jan,0,Thursday,1,Misty,0.261667,0.25505,53.833299999999994,0.195904,83,1844,1927,weekday,Ideal
21,2011-01-21,Spring,2011,Jan,0,Friday,1,Clear,0.1775,0.157833,45.7083,0.353242,75,1468,1543,weekday,Ideal
22,2011-01-22,Spring,2011,Jan,0,Saturday,0,Clear,0.0591304,0.0790696,40.0,0.17197,93,888,981,weekend,Too Dry
23,2011-01-23,Spring,2011,Jan,0,Sunday,0,Clear,0.0965217,0.0988391,43.6522,0.2466,150,836,986,weekend,Too Dry
24,2011-01-24,Spring,2011,Jan,0,Monday,1,Clear,0.0973913,0.11793,49.173899999999996,0.15833,86,1330,1416,weekday,Ideal
25,2011-01-25,Spring,2011,Jan,0,Tuesday,1,Misty,0.223478,0.234526,61.695699999999995,0.129796,186,1799,1985,weekday,Ideal
26,2011-01-26,Spring,2011,Jan,0,Wednesday,1,Light_Rain_Snow,0.2175,0.2036,86.25,0.29385,34,472,506,weekday,Too Humid
27,2011-01-27,Spring,2011,Jan,0,Thursday,1,Clear,0.195,0.2197,68.75,0.113837,15,416,431,weekday,Too Humid
28,2011-01-28,Spring,2011,Jan,0,Friday,1,Misty,0.203478,0.223317,79.30430000000001,0.1233,38,1129,1167,weekday,Too Humid
29,2011-01-29,Spring,2011,Jan,0,Saturday,0,Clear,0.196522,0.212126,65.17389999999999,0.145365,123,975,1098,weekend,Too Humid
30,2011-01-30,Spring,2011,Jan,0,Sunday,0,Clear,0.216522,0.250322,72.2174,0.0739826,140,956,1096,weekend,Too Humid
31,2011-01-31,Spring,2011,Jan,0,Monday,1,Misty,0.180833,0.18625,60.375,0.187192,42,1459,1501,weekday,Ideal
32,2011-02-01,Spring,2011,Feb,0,Tuesday,1,Misty,0.192174,0.23453,82.9565,0.053213,47,1313,1360,weekday,Too Humid
33,2011-02-02,Spring,2011,Feb,0,Wednesday,1,Misty,0.26,0.254417,77.5417,0.264308,72,1454,1526,weekday,Too Humid
34,2011-02-03,Spring,2011,Feb,0,Thursday,1,Clear,0.186957,0.177878,43.7826,0.277752,61,1489,1550,weekday,Too Dry
35,2011-02-04,Spring,2011,Feb,0,Friday,1,Misty,0.211304,0.228587,58.521699999999996,0.127839,88,1620,1708,weekday,Ideal
36,2011-02-05,Spring,2011,Feb,0,Saturday,0,Misty,0.233333,0.243058,92.91669999999999,0.161079,100,905,1005,weekend,Too Humid
37,2011-02-06,Spring,2011,Feb,0,Sunday,0,Clear,0.285833,0.291671,56.833299999999994,0.1418,354,1269,1623,weekend,Ideal
38,2011-02-07,Spring,2011,Feb,0,Monday,1,Clear,0.271667,0.303658,73.83330000000001,0.0454083,120,1592,1712,weekday,Too Humid
39,2011-02-08,Spring,2011,Feb,0,Tuesday,1,Clear,0.220833,0.198246,53.7917,0.36195,64,1466,1530,weekday,Ideal
40,2011-02-09,Spring,2011,Feb,0,Wednesday,1,Misty,0.134783,0.144283,49.4783,0.188839,53,1552,1605,weekday,Ideal
41,2011-02-10,Spring,2011,Feb,0,Thursday,1,Clear,0.144348,0.149548,43.7391,0.221935,47,1491,1538,weekday,Too Dry
