instant,dteday,season,year,month,hour,holiday,day_of_week,workingday,weather_condition,temp,atemp,humidity,wind_speed,casual,registered,total_count,day_category,humidity_category
1,2011-01-01,Spring,2011,Jan,0,0,Saturday,0,Clear,0.24,0.2879,81.0,0.0,3,13,16,weekend,Too Humid
2,2011-01-01,Spring,2011,Jan,1,0,Saturday,0,Clear,0.22,0.2727,80.0,0.0,8,32,40,weekend,Too Humid
3,2011-01-01,Spring,2011,Jan,2,0,Saturday,0,Clear,0.22,0.2727,80.0,0.0,5,27,32,weekend,Too Humid
4,2011-01-01,Spring,2011,Jan,3,0,Saturday,0,Clear,0.24,0.2879,75.0,0.0,3,10,13,weekend,Too Humid
5,2011-01-01,Spring,2011,Jan,4,0,Saturday,0,Clear,0.24,0.2879,75.0,0.0,0,1,1,weekend,Too Humid
6,2011-01-01,Spring,2011,Jan,5,0,Saturday,0,Misty,0.24,0.2576,75.0,0.0896,0,1,1,weekend,Too Humid
7,2011-01-01,Spring,2011,Jan,6,0,Saturday,0,Clear,0.22,0.2727,80.0,0.0,2,0,2,weekend,Too Humid
8,2011-01-01,Spring,2011,Jan,7,0,Saturday,0,Clear,0.2,0.2576,86.0,0.0,1,2,3,weekend,Too Humid
9,2011-01-01,Spring,2011,Jan,8,0,Saturday,0,Clear,0.24,0.2879,75.0,0.0,1,7,8,weekend,Too Humid
10,2011-01-01,Spring,2011,Jan,9,0,Saturday,0,Clear,0.32,0.3485,76.0,0.0,8,6,14,weekend,Too Humid
11,2011-01-01,Spring,2011,Jan,10,0,Saturday,0,Clear,0.38,0.3939,76.0,0.2537,12,24,36,weekend,Too Humid
12,2011-01-01,Spring,2011,Jan,11,0,Saturday,0,Clear,0.36,0.3333,81.0,0.2836,26,30,56,weekend,Too Humid
13,2011-01-01,Spring,2011,Jan,12,0,Saturday,0,Clear,0.42,0.4242,77.0,0.2836,29,55,84,weekend,Too Humid
14,2011-01-01,Spring,2011,Jan,13,0,Saturday,0,Misty,0.46,0.4545,72.0,0.2985,47,47,94,weekend,Too Humid
15,2011-01-01,Spring,2011,Jan,14,0,Saturday,0,Misty,0.46,0.4545,72.0,0.2836,35,71,106,weekend,Too Humid
16,2011-01-01,Spring,2011,Jan,15,0,Saturday,0,Misty,0.44,0.4394,77.0,0.2985,40,70,110,weekend,Too Humid
17,2011-01-01,Spring,2011,Jan,16,0,Saturday,0,Misty,0.42,0.4242,82.0,0.2985,41,52,93,weekend,Too Humid
18,2011-01-01,Spring,2011,Jan,17,0,Saturday,0,Misty,0.44,0.4394,82.0,0.2836,15,52,67,weekend,Too Humid
19,2011-01-01,Spring,2011,Jan,18,0,Saturday,0,Light_Rain_Snow,0.42,0.4242,88.0,0.2537,9,26,35,weekend,Too Humid
20,2011-01-01,Spring,2011,Jan,19,0,Saturday,0,Light_Rain_Snow,0.42,0.4242,88.0,0.2537,6,31,37,weekend,Too Humid
21,2011-01-01,Spring,2011,Jan,20,0,Saturday,0,Misty,0.4,0.4091,87.0,0.2537,11,25,36,weekend,Too Humid
22,2011-01-01,Spring,2011,Jan,21,0,Saturday,0,Misty,0.4,0.4091,87.0,0.194,3,31,34,weekend,Too Humid
23,2011-01-01,Spring,2011,Jan,22,0,Saturday,0,Misty,0.4,0.4091,94.0,0.2239,11,17,28,weekend,Too Humid
24,2011-01-01,Spring,2011,Jan,23,0,Saturday,0,Misty,0.46,0.4545,88.0,0.2985,15,24,39,weekend,Too Humid
25,2011-01-02,Spring,2011,Jan,0,0,Sunday,0,Misty,0.46,0.4545,88.0,0.2985,4,13,17,weekend,Too Humid
26,2011-01-02,Spring,2011,Jan,1,0,Sunday,0,Misty,0.44,0.4394,94.0,0.2537,1,16,17,weekend,Too Humid
27,2011-01-02,Spring,2011,Jan,2,0,Sunday,0,Misty,0.42,0.4242,100.0,0.2836,1,8,9,weekend,Too Humid
28,2011-01-02,Spring,2011,Jan,3,0,Sunday,0,Misty,0.46,0.4545,94.0,0.194,2,4,6,weekend,Too Humid
29,2011-01-02,Spring,2011,Jan,4,0,Sunday,0,Misty,0.46,0.4545,94.0,0.194,2,1,3,weekend,Too Humid
30,2011-01-02,Spring,2011,Jan,6,0,Sunday,0,Light_Rain_Snow,0.42,0.4242,77.0,0.2985,0,2,2,weekend,Too Humid
31,2011-01-02,Spring,2011,Jan,7,0,Sunday,0,Misty,0.4,0.4091,76.0,0.194,0,1,1,weekend,Too Humid
32,2011-01-02,Spring,2011,Jan,8,0,Sunday,0,Light_Rain_Snow,0.4,0.4091,71.0,0.2239,0,8,8,weekend,Too Humid
33,2011-01-02,Spring,2011,Jan,9,0,Sunday,0,Misty,0.38,0.3939,76.0,0.2239,1,19,20,weekend,Too Humid
34,2011-01-02,Spring,2011,Jan,10,0,Sunday,0,Misty,0.36,0.3485,81.0,0.2239,7,46,53,weekend,Too Humid
35,2011-01-02,Spring,2011,Jan,11,0,Sunday,0,Misty,0.36,0.3333,71.0,0.2537,16,54,70,weekend,Too Humid
36,2011-01-02,Spring,2011,Jan,12,0,Sunday,0,Misty,0.36,0.3333,66.0,0.2985,20,73,93,weekend,Too Humid
37,2011-01-02,Spring,2011,Jan,13,0,Sunday,0,Misty,0.36,0.3485,66.0,0.1343,11,64,75,weekend,Too Humid
38,2011-01-02,Spring,2011,Jan,14,0,Sunday,0,Light_Rain_Snow,0.36,0.3485,76.0,0.194,4,55,59,weekend,Too Humid
39,2011-01-02,Spring,2011,Jan,15,0,Sunday,0,Light_Rain_Snow,0.34,0.3333,81.0,0.1642,19,55,74,weekend,Too Humid
40,2011-01-02,Spring,2011,Jan,16,0,Sunday,0,Light_Rain_Snow,0.34,0.3333,71.0,0.1642,9,67,76,weekend,Too Humid
41,2011-01-02,Spring,2011,Jan,17,0,Sunday,0,Clear,0.34,0.3333,56.99999999999999,0.194,7,58,65,weekend,Ideal
42,2011-01-02,Spring,2011,Jan,18,0,Sunday,0,Misty,0.36,0.3333,46.0,0.3284,10,43,53,weekend,Ideal
43,2011-01-02,Spring,2011,Jan,19,0,Sunday,0,Clear,0.32,0.2879,42.0,0.4478,1,29,30,weekend,Too Dry
44,2011-01-02,Spring,2011,Jan,20,0,Sunday,0,Clear,0.3,0.2727,39.0,0.3582,5,17,22,weekend,Too Dry
45,2011-01-02,Spring,2011,Jan,21,0,Sunday,0,Clear,0.26,0.2273,44.0,0.3284,11,20,31,weekend,Too Dry
46,2011-01-02,Spring,2011,Jan,22,0,Sunday,0,Clear,0.24,0.2121,44.0,0.2985,0,9,9,weekend,Too Dry
47,2011-01-02,Spring,2011,Jan,23,0,Sunday,0,Clear,0.22,0.2273,47.0,0.1642,0,8,8,weekend,Ideal
48,2011-01-03,Spring,2011,Jan,0,0,Monday,1,Clear,0.22,0.197,44.0,0.3582,0,5,5,weekday,Too Dry
49,2011-01-03,Spring,2011,Jan,1,0,Monday,1,Clear,0.2,0.1667,44.0,0.4179,0,2,2,weekday,Too Dry
50,2011-01-03,Spring,2011,Jan,4,0,Monday,1,Clear,0.16,0.1364,47.0,0.3881,0,1,1,weekday,Ideal
51,2011-01-03,Spring,2011,Jan,5,0,Monday,1,Clear,0.16,0.1364,47.0,0.2836,0,3,3,weekday,Ideal
52,2011-01-03,Spring,2011,Jan,6,0,Monday,1,Clear,0.14,0.1061,50.0,0.3881,0,30,30,weekday,Ideal
53,2011-01-03,Spring,2011,Jan,7,0,Monday,1,Clear,0.14,0.1364,50.0,0.194,1,63,64,weekday,Ideal
54,2011-01-03,Spring,2011,Jan,8,0,Monday,1,Clear,0.14,0.1212,50.0,0.2836,1,153,154,weekday,Ideal
